sample	PRS
HG00304	3.94517810358282
HG00306	9.4184523244049
HG00308	-2.32719048088466
HG00309	-3.34386950883566
HG00310	12.5274182484852
HG00311	13.2274595982399
HG00313	9.87017651579971
HG00315	0.523337056287687
HG00318	11.9553100572188
HG00319	1.74753599323741
HG00320	4.54291143709874
HG00321	3.87835650387549
HG00323	12.2677604097297
HG00324	8.4254444742129
HG00325	2.98962121737963
HG00326	3.11518747427221
HG00327	8.81483105215942
HG00328	-2.00858172460115
HG00329	3.9691905238415
HG00330	6.68304851188911
HG00331	5.7345601290477
HG00332	9.6429313754621
HG00334	-0.305360612456827
HG00335	0.177600106823046
HG00336	4.72775643129878
HG00337	14.4627324519244
HG00338	10.0320377929435
HG00339	-1.54062297700114
HG00341	4.10165534498654
HG00342	6.69350313416391
HG00343	3.66626716825406
HG00344	9.53082245742578
HG00345	6.49841034281481
HG00346	11.6293665381619
HG00349	7.57163953361232
HG00350	6.3382166936255
HG00351	6.99710000078301
HG00353	8.09202377803389
HG00355	10.8689284443457
HG00356	2.51407814962162
HG00357	12.8992883859209
HG00358	3.92127755190514
HG00360	11.5235120460212
HG00361	6.98823088892251
HG00362	-4.00476851952014
HG00364	5.51870785832082
HG00365	0.659540526462197
HG00366	8.23632233254494
HG00367	6.21723996784215
HG00368	6.01964968034469
HG00369	-1.35938407693393
HG00371	3.37134327229395
HG00372	9.77184200213666
HG00373	1.66635604556612
HG00375	11.3342517262022
HG00376	4.65467284089949
HG00378	8.48252516585777
HG00379	5.38714490767816
HG00380	7.98261061441129
HG00381	4.34524636330704
HG00382	13.5646304157132
HG00383	11.4821116698967
HG00384	0.589711288073257
HG00403	-5.46139985651117
HG00404	-8.20775874896032
HG00406	-6.93827415423842
HG00407	-8.87250520913294
HG00409	-4.48868684518204
HG00410	-3.1912502721833
HG00419	-10.6178018376365
HG00421	-5.5450019213627
HG00422	-7.67702418943852
HG00428	-9.31306971406894
HG00436	-11.6255453838948
HG00437	-10.4135406787699
HG00442	-8.7906661364248
HG00443	-8.89357444919705
HG00445	-10.4999694985043
HG00446	-9.82582847923304
HG00448	-6.83350397380997
HG00449	-12.6792851573863
HG00451	-10.1440712222279
HG00452	-15.2665734292278
HG00457	-14.7031216327834
HG00458	-14.3036001740663
HG00463	-3.04966077735259
HG00464	-5.35669034905433
HG00472	-6.26632042214448
HG00473	-10.5664757684239
HG00475	-9.81238234371497
HG00476	-11.6128849032547
HG00478	-14.4736473284309
HG00479	-8.86161242055004
HG00500	-15.0434184749984
HG00513	-8.83194670883181
HG00524	-10.4784044070984
HG00525	-4.45885425761757
HG00530	-9.14732004272959
HG00531	-9.67426576340201
HG00533	-7.35996759534356
HG00534	-1.4386737745054
HG00536	-10.2130768702685
HG00537	-5.16171143730394
HG00542	-7.49107038503869
HG00543	-7.60754352109007
HG00551	-0.0928751304086454
HG00553	-2.64532531359961
HG00554	0.147382554041143
HG00556	-8.1494365910581
HG00557	-3.8052689540059
HG00559	-10.0606632908986
HG00560	-4.98487541261501
HG00565	-13.7934655797154
HG00566	-10.3769619017053
HG00580	-9.72271674596392
HG00581	-8.67231695427309
HG00583	-11.1807042046925
HG00584	-11.6116095928278
HG00589	-10.5331531999587
HG00590	-10.0681115558137
HG00592	-7.57633986561161
HG00593	-4.70414726240949
HG00595	-3.94537601247051
HG00596	-10.0128694815498
HG00598	-6.80771100205622
HG00599	-8.04335782265176
HG00607	-5.38421617084706
HG00608	-16.3418802049909
HG00610	-6.94848056440709
HG00611	-7.8872150550704
HG00613	-4.9169778116741
HG00614	-5.5964924470242
HG00619	-4.05975491177237
HG00620	-9.78208439570944
HG00622	-9.62780490607369
HG00623	-9.89467817049608
HG00625	-14.444485353357
HG00626	-6.41093785431502
HG00628	-11.2386273717988
HG00629	-13.3639211455565
HG00631	-5.72059483970154
HG00632	-8.58398444686333
HG00634	-8.89810315192544
HG00637	-3.48852468167933
HG00638	-5.72634394048737
HG00640	-11.1420467159454
HG00641	5.31537674291292
HG00650	-8.52952257346945
HG00651	-11.0109439792158
HG00653	-9.88993878785333
HG00654	-6.7856287207055
HG00656	-6.62913536442485
HG00657	-10.4079704255268
HG00662	-10.7060747662498
